Precinct_name,candidate_name,Contest_title,Sum of total_votes
104,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",145
104,Steve Adler,"MAYOR, CITY OF AUSTIN",157
105,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
105,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",61
105,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",33
105,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
105,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
105,Steve Adler,"MAYOR, CITY OF AUSTIN",0
106,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
106,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",26
106,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",23
106,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
106,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
106,Steve Adler,"MAYOR, CITY OF AUSTIN",0
107,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",6
107,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",3
108,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",48
108,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",68
108,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",70
108,Mike Martinez,"MAYOR, CITY OF AUSTIN",67
108,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",112
108,Steve Adler,"MAYOR, CITY OF AUSTIN",100
109,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",89
109,Hillary Procknow,"AT LARGE POSITION 9, AISD",17
109,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",68
109,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",108
109,Kendall Pace,"AT LARGE POSITION 9, AISD",35
109,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",175
109,Mike Martinez,"MAYOR, CITY OF AUSTIN",79
109,Steve Adler,"MAYOR, CITY OF AUSTIN",174
111,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",140
111,Hillary Procknow,"AT LARGE POSITION 9, AISD",2
111,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",143
111,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",184
111,Kendall Pace,"AT LARGE POSITION 9, AISD",0
111,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",240
111,Mike Martinez,"MAYOR, CITY OF AUSTIN",124
111,Steve Adler,"MAYOR, CITY OF AUSTIN",287
112,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",38
112,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",29
112,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",22
112,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",38
112,Mike Martinez,"MAYOR, CITY OF AUSTIN",22
112,Steve Adler,"MAYOR, CITY OF AUSTIN",50
113,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",21
113,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",20
113,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",24
113,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",36
113,Mike Martinez,"MAYOR, CITY OF AUSTIN",24
113,Steve Adler,"MAYOR, CITY OF AUSTIN",37
114,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",3
114,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",3
115,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
115,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
116,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
116,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
116,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
116,Hillary Procknow,"AT LARGE POSITION 9, AISD",0
116,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
116,Kendall Pace,"AT LARGE POSITION 9, AISD",0
116,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
116,Steve Adler,"MAYOR, CITY OF AUSTIN",0
117,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",61
117,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",51
117,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",39
117,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",132
117,Hillary Procknow,"AT LARGE POSITION 9, AISD",35
117,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",53
117,Kendall Pace,"AT LARGE POSITION 9, AISD",62
117,Mike Martinez,"MAYOR, CITY OF AUSTIN",94
117,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",144
117,Steve Adler,"MAYOR, CITY OF AUSTIN",108
118,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",22
118,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",12
118,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",23
118,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",28
118,Hillary Procknow,"AT LARGE POSITION 9, AISD",12
118,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",14
118,Kendall Pace,"AT LARGE POSITION 9, AISD",31
118,Mike Martinez,"MAYOR, CITY OF AUSTIN",30
118,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",46
118,Steve Adler,"MAYOR, CITY OF AUSTIN",31
119,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
119,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
120,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
120,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",3
120,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",2
120,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
120,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
120,Steve Adler,"MAYOR, CITY OF AUSTIN",0
121,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",38
121,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",12
121,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",45
121,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",55
121,Hillary Procknow,"AT LARGE POSITION 9, AISD",45
121,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",22
121,Kendall Pace,"AT LARGE POSITION 9, AISD",31
121,Mike Martinez,"MAYOR, CITY OF AUSTIN",46
121,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",79
121,Steve Adler,"MAYOR, CITY OF AUSTIN",44
122,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",212
122,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",166
122,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",194
122,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",294
122,Hillary Procknow,"AT LARGE POSITION 9, AISD",151
122,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",112
122,Kendall Pace,"AT LARGE POSITION 9, AISD",231
122,Mike Martinez,"MAYOR, CITY OF AUSTIN",177
122,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",305
122,Steve Adler,"MAYOR, CITY OF AUSTIN",299
124,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",184
124,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",145
124,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",322
124,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",303
124,Hillary Procknow,"AT LARGE POSITION 9, AISD",199
124,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",186
124,Kendall Pace,"AT LARGE POSITION 9, AISD",243
124,Mike Martinez,"MAYOR, CITY OF AUSTIN",369
124,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",507
124,Steve Adler,"MAYOR, CITY OF AUSTIN",299
125,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
125,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
125,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
125,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
125,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
125,Steve Adler,"MAYOR, CITY OF AUSTIN",0
126,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",263
126,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",134
126,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",290
126,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",360
126,Hillary Procknow,"AT LARGE POSITION 9, AISD",180
126,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",190
126,Kendall Pace,"AT LARGE POSITION 9, AISD",323
126,Mike Martinez,"MAYOR, CITY OF AUSTIN",403
126,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",601
126,Steve Adler,"MAYOR, CITY OF AUSTIN",334
127,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
127,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
127,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
127,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
127,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
127,Steve Adler,"MAYOR, CITY OF AUSTIN",0
128,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
128,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
128,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
128,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
128,Hillary Procknow,"AT LARGE POSITION 9, AISD",0
128,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
128,Kendall Pace,"AT LARGE POSITION 9, AISD",0
128,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
128,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
128,Steve Adler,"MAYOR, CITY OF AUSTIN",0
129,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",157
129,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",65
129,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",138
129,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",183
129,Hillary Procknow,"AT LARGE POSITION 9, AISD",100
129,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",98
129,Kendall Pace,"AT LARGE POSITION 9, AISD",160
129,Mike Martinez,"MAYOR, CITY OF AUSTIN",175
129,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",290
129,Steve Adler,"MAYOR, CITY OF AUSTIN",177
130,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",104
130,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",63
130,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",166
130,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",156
130,Hillary Procknow,"AT LARGE POSITION 9, AISD",96
130,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",99
130,Kendall Pace,"AT LARGE POSITION 9, AISD",145
130,Mike Martinez,"MAYOR, CITY OF AUSTIN",167
130,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",268
130,Steve Adler,"MAYOR, CITY OF AUSTIN",168
131,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
131,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
131,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
131,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
131,Hillary Procknow,"AT LARGE POSITION 9, AISD",0
131,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
131,Kendall Pace,"AT LARGE POSITION 9, AISD",0
131,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
131,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
131,Steve Adler,"MAYOR, CITY OF AUSTIN",0
132,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",166
132,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",165
132,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",220
132,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",238
132,Hillary Procknow,"AT LARGE POSITION 9, AISD",136
132,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",127
132,Kendall Pace,"AT LARGE POSITION 9, AISD",210
132,Mike Martinez,"MAYOR, CITY OF AUSTIN",177
132,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",300
132,Steve Adler,"MAYOR, CITY OF AUSTIN",293
133,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",176
133,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",61
133,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",242
133,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",224
133,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",173
133,Hillary Procknow,"AT LARGE POSITION 9, AISD",164
133,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",159
133,Kendall Pace,"AT LARGE POSITION 9, AISD",214
133,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",65
133,Mike Martinez,"MAYOR, CITY OF AUSTIN",249
133,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",213
133,Steve Adler,"MAYOR, CITY OF AUSTIN",268
134,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
134,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
134,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
134,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
134,Hillary Procknow,"AT LARGE POSITION 9, AISD",0
134,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
134,Kendall Pace,"AT LARGE POSITION 9, AISD",0
134,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
134,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
134,Steve Adler,"MAYOR, CITY OF AUSTIN",0
135,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",91
135,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",149
135,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",411
135,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",416
135,Hillary Procknow,"AT LARGE POSITION 9, AISD",273
135,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",334
135,Kendall Pace,"AT LARGE POSITION 9, AISD",453
135,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",106
135,Mike Martinez,"MAYOR, CITY OF AUSTIN",574
135,Steve Adler,"MAYOR, CITY OF AUSTIN",470
138,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
138,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
139,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",139
139,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",9
139,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",109
139,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",180
139,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",229
139,Hillary Procknow,"AT LARGE POSITION 9, AISD",126
139,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",163
139,Kendall Pace,"AT LARGE POSITION 9, AISD",187
139,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",198
139,Mike Martinez,"MAYOR, CITY OF AUSTIN",205
139,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",13
139,Steve Adler,"MAYOR, CITY OF AUSTIN",249
140,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",157
140,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",123
140,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",158
140,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",169
140,Hillary Procknow,"AT LARGE POSITION 9, AISD",108
140,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",136
140,Kendall Pace,"AT LARGE POSITION 9, AISD",158
140,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",187
140,Mike Martinez,"MAYOR, CITY OF AUSTIN",132
140,Steve Adler,"MAYOR, CITY OF AUSTIN",219
141,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
141,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",13
141,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",0
141,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",13
141,Hillary Procknow,"AT LARGE POSITION 9, AISD",0
141,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",12
141,Kendall Pace,"AT LARGE POSITION 9, AISD",0
141,Mike Martinez,"MAYOR, CITY OF AUSTIN",10
141,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",21
141,Steve Adler,"MAYOR, CITY OF AUSTIN",26
142,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",5
142,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",1
142,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",45
142,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",95
142,Hillary Procknow,"AT LARGE POSITION 9, AISD",34
142,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",48
142,Kendall Pace,"AT LARGE POSITION 9, AISD",50
142,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",30
142,Mike Martinez,"MAYOR, CITY OF AUSTIN",83
142,Steve Adler,"MAYOR, CITY OF AUSTIN",45
148,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
148,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
148,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
148,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
148,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
148,Steve Adler,"MAYOR, CITY OF AUSTIN",0
149,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",117
